Rank,Name,Country,Inns,Not out,BattingAverage,run_against,total_out,others_avg,Norm_avg,ROO Score
558,Matthew Humphreys,Ireland,3,2,38,3663,99,37.00,1.00,1.00
559,Trevor Bailey,England,91,14,29.74,42665,1435,29.73,0.01,0.64
560,Alex Carey,Australia,55,6,31.73,30703,968,31.72,0.01,0.59
561,Karim Janat,Afghanistan,4,1,31.66,3217,102,31.54,0.12,0.36
562,J J Ferris,England,1,0,16,4397,278,15.82,0.18,0.18
563,John Shuter,England,1,0,28,2033,73,27.85,0.15,0.15
564,Joe Hardstaff,England,10,0,31.1,5566,179,31.09,0.01,0.05
565,Vijay Dahiya,India,1,1,0,4792,120,39.93,-39.93,0.00
566,Bal Dani,India,0,0,0,3049,101,30.19,-30.19,0.00
567,Rustomji Jamshedji,India,2,2,0,3089,105,29.42,-29.42,0.00
568,Ebrahim Maka,India,1,1,0,2985,91,32.80,-32.80,0.00
569,Khershed Meherhomji,India,1,1,0,2673,72,37.13,-37.13,0.00
570,Debasis Mohanty,India,1,1,0,3930,99,39.70,-39.70,0.00
571,T Natarajan,India,1,1,0,2781,80,34.76,-34.76,0.00
572,Sadashiv Patil,India,1,1,0,2373,74,32.07,-32.07,0.00
573,Vijay Rajindernath,India,0,0,0,2496,75,33.28,-33.28,0.00
574,Thirumalai Sekar,India,1,1,0,3132,82,38.20,-38.20,0.00
575,Rakesh Shukla,India,0,0,0,2885,79,36.52,-36.52,0.00
576,Gundibail Sunderam,India,1,1,0,3612,95,38.02,-38.02,0.00
577,Narain Swamy,India,0,0,0,2705,70,38.64,-38.64,0.00
578,Margashayam Venkataramana,India,2,2,0,2427,79,30.72,-30.72,0.00
579,Tinu Yohannan,India,4,4,0,3909,129,30.30,-30.30,0.00
580,Sayed Shirzad,Afghanistan,0,0,0,2851,76,37.51,-37.51,0.00
581,Waqar Salamkheil,Afghanistan,1,1,0,2405,79,30.44,-30.44,0.00
582,Peter Allan,Australia,0,0,0,2606,71,36.70,-36.70,0.00
583,Ian Callen,Australia,2,2,0,2930,81,36.17,-36.17,0.00
584,Simon Cook,Australia,2,2,0,3274,99,33.07,-33.07,0.00
585,George Coulthard,Australia,1,1,0,2340,79,29.62,-29.62,0.00
586,Dan Cullen,Australia,0,0,0,2656,71,37.41,-37.41,0.00
587,Tony Dell,Australia,2,2,0,3161,102,30.99,-30.99,0.00
588,Phil Emery,Australia,1,1,0,2717,72,37.74,-37.74,0.00
589,Fred Freer,Australia,1,1,0,2833,74,38.28,-38.28,0.00
590,Len Johnson,Australia,1,1,0,2537,73,34.75,-34.75,0.00
591,Stuart Law,Australia,1,1,0,2752,73,37.70,-37.70,0.00
592,John Mclaren,Australia,2,2,0,2522,80,31.53,-31.53,0.00
593,Scott Muller,Australia,2,2,0,3821,104,36.74,-36.74,0.00
594,Keith Slater,Australia,1,1,0,2462,78,31.56,-31.56,0.00
595,Jack Wilson,Australia,0,0,0,2631,72,36.54,-36.54,0.00
596,Paul Wilson,Australia,2,2,0,2649,72,36.79,-36.79,0.00
597,Alan Brown,England,1,1,0,3800,101,37.62,-37.62,0.00
598,John Childs,England,4,4,0,2891,100,28.91,-28.91,0.00
599,Johnnie Clay,England,0,0,0,2702,72,37.53,-37.53,0.00
600,Matthew Fisher,England,1,1,0,2820,78,36.15,-36.15,0.00
601,Alf Gover,England,1,1,0,4495,134,33.54,-33.54,0.00
602,Simon Kerrigan,England,1,1,0,2724,77,35.38,-35.38,0.00
603,Amjad Khan,England,0,0,0,2964,77,38.49,-38.49,0.00
604,Andy Lloyd,England,1,1,0,2357,73,32.29,-32.29,0.00
605,Jack Macbryan,England,0,0,0,1841,58,31.74,-31.74,0.00
606,Austin Matthews,England,1,1,0,2290,78,29.36,-29.36,0.00
607,Audley Miller,England,2,2,0,2086,81,25.75,-25.75,0.00
608,Charlie Parker,England,1,1,0,2228,70,31.83,-31.83,0.00
609,Reg Perks,England,2,2,0,4509,98,46.01,-46.01,0.00
610,George Pope,England,1,1,0,2810,76,36.97,-36.97,0.00
611,Hopper Read,England,0,0,0,2702,72,37.53,-37.53,0.00
612,Harold Rhodes,England,1,1,0,3549,101,35.14,-35.14,0.00
613,Fred Root,England,0,0,0,3254,84,38.74,-38.74,0.00
614,Les Taylor,England,1,1,0,3259,92,35.42,-35.42,0.00
615,Bill Bell,New Zealand,3,3,0,3372,98,34.41,-34.41,0.00
616,Lockie Ferguson,New Zealand,2,2,0,2509,81,30.98,-30.98,0.00
617,Greg Loveridge,New Zealand,1,1,0,2407,78,30.86,-30.86,0.00
618,Ben Sears,New Zealand,2,2,0,2526,80,31.58,-31.58,0.00
619,David Sewell,New Zealand,1,1,0,2814,79,35.62,-35.62,0.00
620,Colin Snedden,New Zealand,0,0,0,2206,66,33.42,-33.42,0.00
