X,Y,Curve,Radius
739447.7488,3008215.928,0,2.777777778
739439.1089,3008212.8,0,2.380952381
739429.955,3008209.332,0,2.272727273
739420.8846,3008205.855,0,2.083333333
739411.7379,3008202.274,0,2.5
739402.4755,3008198.471,0,10
739393.3714,3008194.731,0,3.333333333
739383.9714,3008191.125,0,1.818181818
739374.6947,3008187.648,0,2.173913043
739365.5388,3008184.283,0,7.142857143
739356.4265,3008181.179,0,9.090909091
739347.4428,3008178.142,0,5.882352941
739338.2217,3008174.714,0,10
739328.858,3008170.866,0,50
739319.5188,3008167.029,0,25
739309.9607,3008163.901,0,12.5
739300.4169,3008161.064,0,7.692307692
739290.8327,3008158.214,0,6.666666667
739281.4161,3008155.414,0,7.142857143
739271.9531,3008152.601,0,11.11111111
739262.5286,3008149.641,0,20
739253.192,3008145.981,0,33.33333333
739243.8216,3008142.216,0,100
739234.6513,3008138.619,0,33.33333333
739225.4938,3008135.285,0,12.5
739216.4512,3008132.008,0,7.692307692
739207.4034,3008128.587,0,9.090909091
739198.1925,3008124.777,0,25
739189.0752,3008121.002,0,16.66666667
739179.7807,3008117.468,0,7.692307692
739170.4132,3008114.484,0,6.666666667
739161.019,3008111.493,0,8.333333333
739151.5987,3008108.212,0,20
739142.2615,3008104.526,0,50
739132.8367,3008100.805,0,14.28571429
739123.3428,3008097.533,0,20
739113.538,3008094.857,0,25
739103.751,3008092.188,0,7.142857143
739094.2616,3008089.094,0,5
739085.0569,3008085.324,0,5.555555556
739075.979,3008081.605,0,7.692307692
739066.7773,3008077.938,0,10
739057.5361,3008074.413,0,7.692307692
739048.3136,3008070.896,0,5.555555556
739039.0698,3008067.507,0,5.555555556
739030.0167,3008064.411,0,7.692307692
739020.8571,3008061.279,0,14.28571429
739011.7387,3008058.071,0,16.66666667
739002.5643,3008054.684,0,12.5
738993.3268,3008051.274,0,11.11111111
738984.1301,3008047.91,0,12.5
738974.7335,3008044.526,0,16.66666667
738965.4363,3008041.176,0,14.28571429
738956.1336,3008038.016,0,8.333333333
738946.8472,3008035.189,0,5.882352941
738937.6376,3008032.387,0,5.555555556
